QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
milliSeconds,Real,Real,Real,
43.5000000000, 0.0149436150,-0.0381813352, 0.00000E+000,
43.6666666667, 0.0168681715, 0.0044147169, 0.00000E+000,
43.8333333333, 0.0313589497,-0.0283973680, 0.00000E+000,
44.0000000000, 0.0098492008,-0.0831637207, 0.00000E+000,
44.1666666667, 0.0158492887, 0.0418801520, 0.00000E+000,
44.3333333333, 0.0249060250,-0.0198065676, 0.00000E+000,
44.5000000000, 0.0178870543,-0.0081135337, 0.00000E+000,
44.6666666667,-0.0069057615,-0.0198065676, 0.00000E+000,
44.8333333333, 0.0031698577,-0.1164530723, 0.00000E+000,
45.0000000000, 0.0084906904, 0.0621639864, 0.00000E+000,
45.1666666667,-0.0049812050, 0.0190906676, 0.00000E+000,
45.3333333333,-0.0121133849, 0.0187327176, 0.00000E+000,
45.5000000000,-0.0083774811,-0.0282780514, 0.00000E+000,
45.6666666667, 0.0181134728,-0.0807773873, 0.00000E+000,
45.8333333333, 0.0041887406, 0.0724252202, 0.00000E+000,
46.0000000000,-0.0194719832,-0.0176588675, 0.00000E+000,
46.1666666667, 0.0127926401, 0.0219542677, 0.00000E+000,
46.3333333333, 0.0099624100,-0.0156304841, 0.00000E+000,
46.5000000000, 0.0050944142,-0.0621639864, 0.00000E+000,
46.6666666667, 0.0067925523, 0.0785103705, 0.00000E+000,
46.8333333333, 0.0105284560, 0.0303064348, 0.00000E+000,
47.0000000000, 0.0348684351, 0.0528572859, 0.00000E+000,
47.1666666667, 0.0261513263,-0.0016704334, 0.00000E+000,
47.3333333333,-0.0010188828,-0.0496357357, 0.00000E+000,
47.5000000000, 0.0109812929, 0.0838796207, 0.00000E+000,
47.6666666667, 0.0163021255, 0.0346018350, 0.00000E+000,
47.8333333333, 0.0203776569, 0.0157498008, 0.00000E+000,
48.0000000000, 0.0021509749,-0.0189713509, 0.00000E+000,
48.1666666667, 0.0070189707,-0.0724252202, 0.00000E+000,
48.3333333333, 0.0165285439, 0.1131122055, 0.00000E+000,
48.5000000000, 0.0136983138, 0.0212383677, 0.00000E+000,
48.6666666667,-0.0082642719,-0.0054885669, 0.00000E+000,
48.8333333333, 0.0062265063,-0.0174202342, 0.00000E+000,
49.0000000000, 0.0121133849,-0.0546470360, 0.00000E+000,
49.1666666667, 0.0343023890, 0.1035668717, 0.00000E+000,
49.3333333333, 0.0130190585, 0.0227894844, 0.00000E+000,
49.5000000000, 0.0093963640, 0.0194486176, 0.00000E+000,
49.6666666667, 0.0364533639, 5.96583E-004, 0.00000E+000,
49.8333333333, 0.0264909539,-0.0348404684, 0.00000E+000,
50.0000000000, 0.0115473389, 0.0885329710, 0.00000E+000,
50.1666666667, 0.0157360795, 0.0137214173, 0.00000E+000,
50.3333333333, 0.0149436150, 0.0336473016, 0.00000E+000,
50.5000000000, 0.0337363430, 0.0072783170, 0.00000E+000,
50.6666666667, 0.0221890041,-0.0508289025, 0.00000E+000,
50.8333333333, 0.0198116108, 0.1106065554, 0.00000E+000,
51.0000000000, 0.0292079748, 0.0619253530, 0.00000E+000,
51.1666666667, 0.0305664853, 0.0486812024, 0.00000E+000,
51.3333333333, 0.0127926401, 0.0038181335, 0.00000E+000,
51.5000000000, 0.0366797823,-0.0019090668, 0.00000E+000,
51.6666666667, 0.0240003514, 0.1283847396, 0.00000E+000,
51.8333333333, 0.0313589497, 0.0553629360, 0.00000E+000,
52.0000000000, 0.0204908661, 0.0689650367, 0.00000E+000,
52.1666666667, 0.0221890041, 0.0192099843, 0.00000E+000,
52.3333333333, 0.0405288953, 0.00000E+000, 0.00000E+000,
52.5000000000, 0.0340759706, 0.1317256064, 0.00000E+000,
52.6666666667, 0.0224154225, 0.0295905348, 0.00000E+000,
52.8333333333, 0.0356608995, 0.0678911866, 0.00000E+000,
53.0000000000, 0.0182266820, 0.0063237836, 0.00000E+000,
53.1666666667, 0.0354344811,-0.0399710853, 0.00000E+000,
53.3333333333, 0.0099624100, 0.1149019556, 0.00000E+000,
53.5000000000, 0.0058868786, 0.0131248340, 0.00000E+000,
53.6666666667, 0.0314721589, 0.0261303513, 0.00000E+000,
53.8333333333, 0.0333967154, 0.0520220692, 0.00000E+000,
54.0000000000, 0.0027170209,-0.0047726669, 0.00000E+000,
54.1666666667, 0.0220757949,-0.0651469032, 0.00000E+000,
54.3333333333, 0.0348684351, 0.0266076180, 0.00000E+000,
54.5000000000, 0.0338495522, 0.0921124711, 0.00000E+000,
54.6666666667, 0.0161889163,-0.0159884341, 0.00000E+000,
54.8333333333, 0.0135851046, 0.0670559699, 0.00000E+000,
55.0000000000, 0.0295476024, 0.0437892188, 0.00000E+000,
55.1666666667, 0.0341891798, 0.0410449353, 0.00000E+000,
55.3333333333, 0.0148304058, 0.0207611010, 0.00000E+000,
55.5000000000, 0.0245663974, 0.0684877700, 0.00000E+000,
55.6666666667, 0.0353212719,-0.2855247972, 0.00000E+000,
55.8333333333, 0.0869446692,-0.5671121442, 0.00000E+000,
56.0000000000, 0.0885295981,-0.1487878906, 0.00000E+000,
56.1666666667, 0.0585291588, 0.0950953880, 0.00000E+000,
56.3333333333, 0.0671330584, 0.0768399371, 0.00000E+000,
56.5000000000, 0.0637367823,-0.0800614872, 0.00000E+000,
56.6666666667, 0.0370194099, 0.1404357235, 0.00000E+000,
56.8333333333, 0.0321514141, 0.0318575515, 0.00000E+000,
57.0000000000, 0.0306796945,-0.0060851503, 0.00000E+000,
57.1666666667, 0.0480007028, 0.0468914523, 0.00000E+000,
57.3333333333, 0.0159624979,-0.0628798864, 0.00000E+000,
57.5000000000, 0.0210569121, 0.0478459857, 0.00000E+000,
57.6666666667, 0.0416609873, 0.0608515030, 0.00000E+000,
57.8333333333, 0.0367929915, 0.0127668840, 0.00000E+000,
58.0000000000, 0.0184531004, 0.0248178679, 0.00000E+000,
58.1666666667, 0.0369062007,-0.0927090545, 0.00000E+000,
58.3333333333, 0.0498120501, 0.0521413859, 0.00000E+000,
58.5000000000, 0.0363401547, 0.0618060363, 0.00000E+000,
58.6666666667, 0.0273966275, 0.0309030182, 0.00000E+000,
58.8333333333, 0.0293211840, 0.0184940842, 0.00000E+000,
59.0000000000, 0.0421138242,-0.0541697693, 0.00000E+000,
59.1666666667, 0.0382647112, 0.0841182541, 0.00000E+000,
59.3333333333, 0.0263777447, 0.0491584691, 0.00000E+000,
59.5000000000, 0.0200380292, 0.0079942171, 0.00000E+000,
59.6666666667, 0.0279626736, 0.0175395509, 0.00000E+000,
59.8333333333, 0.0395100124,-0.0578685861, 0.00000E+000,
60.0000000000, 0.0159624979, 0.0598969696, 0.00000E+000,
60.1666666667, 0.0241135606, 0.0357950017, 0.00000E+000,
60.3333333333, 0.0263777447, 0.0243406012, 0.00000E+000,
60.5000000000, 0.0374722468, 0.0211190510, 0.00000E+000,
60.6666666667, 0.0258116987,-0.0687264033, 0.00000E+000,
60.8333333333, 0.0189059372, 0.0752888203, 0.00000E+000,
61.0000000000, 0.0267173723, 0.0168236508, 0.00000E+000,
61.1666666667, 0.0363401547, 0.0069203670, 0.00000E+000,
61.3333333333, 0.0404156861,-0.0052499336, 0.00000E+000,
61.5000000000, 0.0305664853,-0.0645503198, 0.00000E+000,
61.6666666667, 0.0410949413, 0.0583458528, 0.00000E+000,
61.8333333333, 0.0434723346, 0.0344825183, 0.00000E+000,
62.0000000000, 0.0254720711, 0.0139600507, 0.00000E+000,
62.1666666667, 0.0198116108,-0.0089487504, 0.00000E+000,
62.3333333333, 0.0292079748,-0.0998680549, 0.00000E+000,
62.5000000000, 0.0392835940, 0.0770785704, 0.00000E+000,
62.6666666667, 0.0327174602,-5.96583E-004, 0.00000E+000,
62.8333333333, 0.0287551380,-0.0211190510, 0.00000E+000,
63.0000000000, 0.0397364309,-0.0313802849, 0.00000E+000,
63.1666666667, 0.0513969789,-0.0732604369, 0.00000E+000,
63.3333333333, 0.0279626736, 0.0670559699, 0.00000E+000,
63.5000000000, 0.0167549623,-0.0066817337, 0.00000E+000,
63.6666666667, 0.0444912175,-0.0100226005, 0.00000E+000,
63.8333333333, 0.0322646233,-0.0115737172, 0.00000E+000,
64.0000000000,-0.0233210962,-0.1508162740, 0.00000E+000,
64.1666666667,-0.0074718075,-0.4713008562, 0.00000E+000,
64.3333333333, 0.0635103638,-0.3604556675, 0.00000E+000,
64.5000000000, 0.0584159496, 0.0678911866, 0.00000E+000,
64.6666666667, 0.0103020376, 0.0368688518, 0.00000E+000,
64.8333333333, 0.0300004393,-0.0612094530, 0.00000E+000,
65.0000000000, 0.0381515020, 0.0829250874, 0.00000E+000,
65.1666666667, 0.0254720711, 0.0278007847, 0.00000E+000,
65.3333333333, 0.0247928158, 0.0374654352, 0.00000E+000,
